Month,bitcoin
2015-01,3
2015-02,3
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,2
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,3
2016-02,3
2016-03,2
2016-04,2
2016-05,3
2016-06,4
2016-07,3
2016-08,2
2016-09,2
2016-10,2
2016-11,3
2016-12,3
2017-01,5
2017-02,4
2017-03,5
2017-04,4
2017-05,11
2017-06,11
2017-07,9
2017-08,16
2017-09,15
2017-10,16
2017-11,39
2017-12,100
2018-01,49
2018-02,35
2018-03,20
2018-04,16
2018-05,12
2018-06,12
